time,taker,case,base,quote,price,quantity
2022-10-11 23:58:20.715826,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0194,1
2022-10-11 23:58:20.715826,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0194,155
2022-10-11 23:58:15.127083,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0194,156
2022-10-11 23:58:09.511341,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0194,514
2022-10-11 23:58:03.307474,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0194,315
2022-10-11 23:58:03.307474,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0194,514
2022-10-11 23:58:03.307474,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0202,192
2022-10-11 23:57:55.884063,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0193,517
2022-10-11 23:57:55.884063,e9dbe1704f50f5ada909be739dc359549d6e5a04d36a557f9ce87bb02a02eb08,buy,Mango,USD Coin,0.0191,770
2022-10-11 23:57:55.884063,8212ea59aaa9793811a7f659fb99b90e18621108936d65dc826961e7936b22c0,buy,Mango,USD Coin,0.0193,407
2022-10-11 23:57:55.884063,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0193,517
2022-10-11 23:57:55.884063,a0ec64587fc553fbc40c9d4183342794859728af0f1f44b6c32805d2dec1539d,buy,Mango,USD Coin,0.0197,2385
2022-10-11 23:57:55.884063,a0ec64587fc553fbc40c9d4183342794859728af0f1f44b6c32805d2dec1539d,buy,Mango,USD Coin,0.0198,2303
2022-10-11 23:57:55.884063,a0ec64587fc553fbc40c9d4183342794859728af0f1f44b6c32805d2dec1539d,buy,Mango,USD Coin,0.02,1021
2022-10-11 23:57:55.884063,a0ec64587fc553fbc40c9d4183342794859728af0f1f44b6c32805d2dec1539d,buy,Mango,USD Coin,0.0206,1426
2022-10-11 23:57:55.884063,a0ec64587fc553fbc40c9d4183342794859728af0f1f44b6c32805d2dec1539d,buy,Mango,USD Coin,0.0203,2441
2022-10-11 23:57:55.884063,8212ea59aaa9793811a7f659fb99b90e18621108936d65dc826961e7936b22c0,buy,Mango,USD Coin,0.0189,673
2022-10-11 23:57:55.884063,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0189,528
2022-10-11 23:57:55.884063,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.019,525
2022-10-11 23:57:55.884063,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.019,525
2022-10-11 23:57:55.884063,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.019,145
2022-10-11 23:57:55.884063,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0193,374
2022-10-11 23:57:55.884063,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.019,525
2022-10-11 23:57:10.678872,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0188,220
2022-10-11 23:57:10.678872,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0188,693
2022-10-11 23:57:10.678872,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0188,636
2022-10-11 23:57:10.678872,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0188,234
2022-10-11 23:57:10.678872,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0188,635
2022-10-11 23:57:04.138148,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0188,531
2022-10-11 23:56:57.708671,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0186,17
2022-10-11 23:56:51.25763,1099bcfea47ffa178aa8b93f22e442a184d6095d9fd7f3643b87d13e5a80370b,buy,Mango,USD Coin,0.0186,161
2022-10-11 23:56:45.677657,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0186,537
2022-10-11 23:56:45.677657,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0186,294
2022-10-11 23:56:45.677657,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0188,240
2022-10-11 23:56:34.325409,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0186,1473
2022-10-11 23:56:34.325409,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0185,1220
2022-10-11 23:56:28.515081,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0184,542
2022-10-11 23:56:28.515081,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0184,273
2022-10-11 23:56:28.515081,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0185,268
2022-10-11 23:56:28.515081,e9dbe1704f50f5ada909be739dc359549d6e5a04d36a557f9ce87bb02a02eb08,buy,Mango,USD Coin,0.0183,837
2022-10-11 23:56:28.515081,e9dbe1704f50f5ada909be739dc359549d6e5a04d36a557f9ce87bb02a02eb08,buy,Mango,USD Coin,0.0185,360
2022-10-11 23:56:22.819518,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0184,542
2022-10-11 23:56:22.819518,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0183,303
2022-10-11 23:56:22.819518,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0183,1
2022-10-11 23:56:22.819518,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0183,544
2022-10-11 23:56:22.819518,8212ea59aaa9793811a7f659fb99b90e18621108936d65dc826961e7936b22c0,buy,Mango,USD Coin,0.0184,126
2022-10-11 23:56:16.667478,54ca016558dcbcd60d94dd7c4ae1669c62c7be10ca9f8b8cb9a5bc03d2fe5e33,buy,Mango,USD Coin,0.0184,240
2022-10-11 23:56:16.667478,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0182,301
2022-10-11 23:56:16.667478,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0183,246
2022-10-11 23:56:16.667478,54ca016558dcbcd60d94dd7c4ae1669c62c7be10ca9f8b8cb9a5bc03d2fe5e33,buy,Mango,USD Coin,0.0183,304
2022-10-11 23:56:10.680993,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.0182,552
2022-10-11 23:56:04.296082,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0181,109
2022-10-11 23:56:04.296082,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0181,552
2022-10-11 23:56:04.296082,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0183,438
2022-10-11 23:55:52.177498,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.018,1
2022-10-11 23:55:52.177498,feeb58bcc00a17003443357b8c26b22bec8028e06a09c5bd999ff7b908dbd1a4,buy,Mango,USD Coin,0.018,367
2022-10-11 23:55:52.177498,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,buy,Mango,USD Coin,0.0181,550
